X,Y,Z,r,theta,phi,E_r,E_t
-0.0,-0.0,1.0,1.0,0.0,4.136430327226561,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.153883619746504,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.171336912266447,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.1887902047863905,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.2062434973063345,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.223696789826278,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.241150082346221,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.258603374866164,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.276056667386108,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.293509959906051,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.310963252425994,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.328416544945937,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.34586983746588,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.363323129985824,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.380776422505767,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.39822971502571,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,4.4156830075456535,0j,(-0.06926651092006958-0.2503928890000739j)
